ts	snmplinuxmeminfo_percent_available_memory
2021-06-18 01:18:47	47.0
2021-06-18 01:23:47	47.0
2021-06-18 01:28:47	47.0
2021-06-18 01:33:47	47.0
2021-06-18 01:38:47	47.0
2021-06-18 01:43:47	47.0
2021-06-18 01:48:47	47.0
2021-06-18 01:53:47	47.0
2021-06-18 01:58:47	47.0
2021-06-18 02:03:47	47.0
2021-06-18 02:08:47	47.0
2021-06-18 02:13:47	47.0
2021-06-18 02:18:47	47.0
2021-06-18 02:23:47	47.0
2021-06-18 02:28:47	47.0
2021-06-18 02:33:47	47.0
2021-06-18 02:38:47	47.0
2021-06-18 02:43:47	47.0
2021-06-18 02:48:47	47.0
2021-06-18 02:53:47	47.0
2021-06-18 02:58:47	47.0
2021-06-18 03:03:47	47.0
2021-06-18 03:08:47	47.0
2021-06-18 03:13:47	47.0
2021-06-18 03:18:47	47.0
2021-06-18 03:23:47	47.0
2021-06-18 03:28:47	47.0
2021-06-18 03:33:47	47.0
2021-06-18 03:38:47	47.0
2021-06-18 03:43:47	47.0
2021-06-18 03:48:47	47.0
2021-06-18 03:53:47	47.0
2021-06-18 03:58:47	47.0
2021-06-18 04:03:47	47.0
2021-06-18 04:08:47	47.0
2021-06-18 04:13:47	47.0
2021-06-18 04:18:47	47.0
2021-06-18 04:23:47	47.0
2021-06-18 04:28:47	47.0
2021-06-18 04:33:47	47.0
2021-06-18 04:38:47	47.0
2021-06-18 04:43:47	47.0
2021-06-18 04:48:47	47.0
2021-06-18 04:53:47	47.0
2021-06-18 04:58:47	47.0
2021-06-18 05:03:47	47.0
2021-06-18 05:08:47	47.0
2021-06-18 05:13:47	47.0
2021-06-18 05:18:47	47.0
2021-06-18 05:23:47	47.0
2021-06-18 05:28:47	47.0
2021-06-18 05:33:47	47.0
2021-06-18 05:38:47	47.0
2021-06-18 05:43:47	47.0
2021-06-18 05:48:47	47.0
2021-06-18 05:53:47	47.0
2021-06-18 05:58:47	47.0
